user,mode,dt,d_km,slope,t_a,t_b,lat_a,lng_a,lat_b,lng_b,near_frontier,reach_frac
0,cycling,12.0,0.324,37.0,106.0,94.0,51.50914,-0.03968,51.50641,-0.04134,False,0.677
3,walking,12.0,0.346,34.7,85.0,97.0,51.52653,-0.00664,51.52401,-0.00369,False,0.302
5,cycling,12.0,0.325,37.0,20.0,8.0,51.46454,-0.20133,51.46727,-0.19967,False,0.783
5,cycling,12.0,0.321,37.4,20.0,8.0,51.46454,-0.20133,51.46475,-0.19671,False,0.783
4,cycling,12.0,0.32,37.5,65.0,53.0,51.52422,0.00092,51.52443,0.00553,False,0.547
2,transit,12.0,0.321,37.4,79.0,67.0,51.48049,-0.20063,51.4807,-0.19602,False,1.0
2,transit,12.0,0.321,37.4,73.0,85.0,51.45327,-0.15884,51.45305,-0.16345,False,1.0
2,transit,12.0,0.347,34.6,66.0,78.0,51.41799,-0.17573,51.41547,-0.17278,False,1.0
0,cycling,12.0,0.324,37.0,88.0,100.0,51.50327,-0.05223,51.50599,-0.05057,False,0.677
2,transit,12.0,0.324,37.0,87.0,75.0,51.46364,-0.04945,51.46636,-0.04779,True,1.0
3,walking,12.0,0.32,37.5,44.0,32.0,51.56195,-0.04338,51.56216,-0.03876,False,0.302
1,cycling,12.0,0.346,34.7,96.0,108.0,51.58227,-0.06242,51.57976,-0.05946,False,0.838
3,walking,12.0,0.32,37.5,104.0,92.0,51.55248,0.04063,51.55269,0.04524,False,0.302
3,walking,12.0,0.324,37.1,73.0,85.0,51.57703,-0.06112,51.57976,-0.05946,False,0.302
3,walking,12.0,0.32,37.5,109.0,97.0,51.52422,0.00092,51.52401,-0.00369,False,0.302
1,cycling,12.0,0.32,37.5,77.0,89.0,51.56551,-0.08163,51.56572,-0.07701,False,0.838
3,walking,12.0,0.32,37.5,104.0,116.0,51.58724,0.04843,51.58744,0.05305,True,0.302
3,walking,12.0,0.324,37.1,69.0,81.0,51.56506,0.02587,51.56778,0.02754,False,0.302
5,cycling,12.0,0.321,37.4,5.0,17.0,51.47338,-0.18252,51.47359,-0.1779,False,0.783
1,cycling,12.0,0.347,34.6,32.0,44.0,51.53276,-0.15993,51.53025,-0.15697,False,0.838
3,walking,12.0,0.324,37.0,81.0,93.0,51.53281,0.01514,51.53008,0.01347,False,0.302
2,transit,12.0,0.324,37.0,62.0,74.0,51.5138,-0.22531,51.51653,-0.22366,False,1.0
