pattern,n_coarse,n_fine,ours_variance,own_grid_opt,ref_opt,seam_gap_pct,quant_gap_pct,total_gap_pct,quant_km,ours_calls,exhaustive_calls,call_ratio,certified,certified_rounds,certified_calls,certified_gap_pct,city,n,seed
square,1111,7821,2480.7783,2221.4162,2221.2613,11.6755,0.007,11.6833,0.0922,3144,46926,0.067,True,24,8832,0.007,bengaluru,6,2
octile,1111,7821,2459.2753,2221.4162,2221.2613,10.7075,0.007,10.7153,0.0922,3216,46926,0.0685,True,24,8892,0.007,bengaluru,6,2
triangle,1117,7819,2561.7637,2222.4575,2221.2613,15.2672,0.0539,15.3292,0.1659,3018,46914,0.0643,True,28,8868,0.0539,bengaluru,6,2
trunc_square,1117,7797,2558.0634,2223.0583,2221.2613,15.0696,0.0809,15.1627,0.1891,3168,46782,0.0677,True,24,9042,0.0809,bengaluru,6,2
poisson,1139,7949,2634.0821,2221.7921,2221.2613,18.5566,0.0239,18.585,0.1383,3180,47694,0.0667,True,31,9150,0.0239,bengaluru,6,2
h3,221,1511,39.098,39.098,38.9884,0.0,0.2811,0.2811,0.2727,2028,9066,0.2237,True,7,2214,0.2811,bengaluru,6,3
square,221,1545,39.0189,39.0189,38.9884,0.0,0.0783,0.0783,0.1495,2112,9270,0.2278,True,10,2424,0.0783,bengaluru,6,3
octile,221,1545,39.0189,39.0189,38.9884,0.0,0.0783,0.0783,0.1495,2160,9270,0.233,True,9,2454,0.0783,bengaluru,6,3
triangle,221,1549,39.1372,39.1372,38.9884,0.0,0.3818,0.3818,0.1477,1962,9294,0.2111,True,14,2520,0.3818,bengaluru,6,3
trunc_square,226,1552,39.2459,39.2459,38.9884,0.0,0.6604,0.6604,0.2792,2124,9312,0.2281,True,9,2568,0.6604,bengaluru,6,3
poisson,234,1575,39.0902,39.0902,38.9884,0.0,0.2612,0.2612,0.0531,2220,9450,0.2349,True,9,2478,0.2612,bengaluru,6,3
h3,191,1363,121.2465,121.2465,121.2447,0.0,0.0015,0.0015,0.1347,1734,8178,0.212,True,4,1944,0.0015,bengaluru,6,4
square,201,1396,121.5606,121.5606,121.2447,0.0,0.2606,0.2606,0.1145,1848,8376,0.2206,True,10,2238,0.2606,bengaluru,6,4
octile,201,1396,121.5606,121.5606,121.2447,0.0,0.2606,0.2606,0.1145,1878,8376,0.2242,True,10,2268,0.2606,bengaluru,6,4
